0,All-Inclusive,Includes buffet-style breakfast lunch and dinner in the main restaurant. Snacks are available at selected times between meals 
0,Full Board,Your breakfast lunch and evening meal are included in the price of a Full Board holiday. That means all you've got to worry about are the drinks! 
0,Half Board,Both your breakfast and evening meal are already paid for in the price of your holiday so all the big meals are taken care of!
0,Bed & Breakfast,Your breakfast is included in the price of your holiday. 
0,Self Catering,No meals are included with your holiday however you'll be provided with some catering facilities in your room.
0,Room Only,As the name suggests  only the room is included in this option.
